2011-12-11 19:34:38 Notice: Notice (8): Undefined index: iroha_data in [/var/www/crdb/app/views/controls/update.ctp, line 101]
2011-12-11 19:35:10 Notice: Notice (8): Undefined index: iroha_data in [/var/www/crdb/app/views/controls/update.ctp, line 102]
2011-12-11 20:01:17 Notice: Notice (8): Undefined variable: items in [/var/www/crdb/app/controllers/controls_controller.php, line 66]
2011-12-11 20:01:17 Notice: Notice (8): Undefined variable: querys in [/var/www/crdb/app/controllers/controls_controller.php, line 72]
2011-12-11 20:01:17 Notice: Notice (8): Undefined variable: querys in [/var/www/crdb/app/controllers/controls_controller.php, line 84]
2011-12-11 20:01:56 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
2011-12-11 20:01:59 Notice: Notice (8): Undefined variable: items in [/var/www/crdb/app/controllers/controls_controller.php, line 67]
2011-12-11 20:01:59 Notice: Notice (8): Undefined variable: querys in [/var/www/crdb/app/controllers/controls_controller.php, line 73]
2011-12-11 20:01:59 Notice: Notice (8): Undefined variable: querys in [/var/www/crdb/app/controllers/controls_controller.php, line 85]
2011-12-11 20:02:36 Notice: Notice (8): Undefined variable: items in [/var/www/crdb/app/controllers/controls_controller.php, line 32]
2011-12-11 20:03:28 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
2011-12-11 20:03:31 Notice: Notice (8): Undefined variable: items in [/var/www/crdb/app/controllers/controls_controller.php, line 67]
2011-12-11 20:04:15 Notice: Notice (8): Undefined index: iroha_datas in [/var/www/crdb/app/controllers/controls_controller.php, line 79]
2011-12-11 20:04:52 Notice: Notice (8): Undefined index: iroha_datas in [/var/www/crdb/app/controllers/controls_controller.php, line 80]
2011-12-11 20:06:01 Notice: Notice (8): Undefined index: count(*) in [/var/www/crdb/app/controllers/controls_controller.php, line 79]
2011-12-11 20:06:54 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
2011-12-11 20:10:40 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
2011-12-11 20:10:49 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
2011-12-11 20:11:33 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
2011-12-11 20:12:06 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
2011-12-11 20:12:20 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
2011-12-11 20:14:01 Notice: Notice (8): Undefined variable: results in [/var/www/crdb/app/views/controls/update.ctp, line 92]
